,ox_state,tot_lig_charge,misc-dent-ax,misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_4,2,0,1.0,1.0,121.98300000000003,235.62340000000003,430.4720000000001,703.346,2143.0,5210.0,7240.0,2746.0,22.0,42.0,76.0,118.0,118.0,312.0,428.0,400.0,10.317600000000002,26.340200000000006,44.77720000000001,47.201400000000014,26.551500000000004,42.4365,43.942000000000014,20.064000000000004,191.0,128.0,64.0,21.0,4.5,7.0,8.0,3.0,15.0,26.0,14.0,3.0,1.7366,2.7799,1.9798,0.8324999999999998,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,7.949,9.552000000000001,3.876,10.032,152.5,37.0,21.0,10.5,1.5,0.5,1.5,2.5,3.0,2.0,1.5,0.80145,0.66615,0.28875,0.41624999999999995,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.625,0.2450000000000001,1.2599999999999998,15.5,0.5,9.0,0.5,-1.5,0.0,0.64,-0.010000000000000009,0.5700000000000001,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,29.9672,46.154,4.794,729.0,2349.0,432.0,162.0,11.0,1.0,102.0,72.0,24.0,1.5876000000000001,7.371,5.6322,0.9702000000000001,-4.660000000000001,-3.8700000000000028,-0.6699999999999999,75.0,281.0,21.0,19.0,54.0,2.0,1.71,9.39,0.49
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_4,2,0,1.0,1.0,142.56710000000004,295.5114,535.7411999999999,882.2504,2229.0,5476.0,7952.0,4258.0,25.0,50.0,90.0,150.0,140.0,390.0,610.0,630.0,11.609900000000003,30.36020000000001,53.337599999999995,62.4806,36.84355000000001,72.3805,91.78260000000002,62.634000000000015,234.0,261.0,258.0,54.0,6.0,11.0,14.0,11.0,25.0,55.0,62.0,25.0,2.3827499999999997,4.7899,5.2898,2.6676999999999995,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,7.949,13.428,15.184800000000003,6.688000000000001,152.5,58.0,52.5,7.0,2.0,2.0,1.0,4.0,8.0,8.0,2.0,0.80145,0.9549000000000001,0.8474999999999999,0.27749999999999997,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.8700000000000001,1.085,0.8399999999999999,16.0,6.5,6.0,0.0,0.0,1.0,0.63,0.37,0.38,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,29.9672,50.948,18.7812,729.0,2349.0,594.0,405.0,12.0,4.0,108.0,96.0,48.0,1.5876000000000001,7.371,6.6024,2.8476000000000004,-4.660000000000001,-4.540000000000003,-2.4700000000000006,75.0,302.0,93.0,18.0,56.0,16.0,1.71,9.88,2.78
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_acetonitrile-N-1-0_4,2,0,1.0,1.0,142.41320000000002,276.8180000000001,504.3312000000002,722.1679999999999,2009.0,4852.0,6302.0,3428.0,25.0,48.0,86.0,116.0,134.0,336.0,432.0,440.0,11.162400000000003,28.20040000000001,45.65660000000002,49.082400000000014,36.766600000000004,62.169,78.20400000000002,40.12800000000001,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.6649999999999996,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8324999999999999,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.4900000000000002,0.4900000000000002,2.5199999999999996,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,1.1400000000000001,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,30.831999999999997,42.675999999999995,9.588,729.0,2106.0,540.0,324.0,10.0,2.0,96.0,72.0,48.0,1.5876000000000001,7.030800000000001,5.670000000000001,1.9404000000000001,-5.120000000000001,-3.900000000000002,-1.3399999999999999,84.0,250.0,42.0,20.0,48.0,4.0,1.98,8.1,0.98
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_fluoride-F-0-d1_fluoride-F-0-d1_4,2,-2,1.0,1.0,100.56080000000001,159.5488,380.748,552.6400000000001,1923.0,4684.0,5978.0,1056.0,15.0,28.0,54.0,80.0,82.0,216.0,262.0,176.0,7.852599999999999,19.8984,33.6346,26.5216,15.8404,0.0,0.0,0.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,15.8404,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,34.3664,33.088,0.0,729.0,2214.0,216.0,0.0,8.0,0.0,84.0,48.0,0.0,1.5876000000000001,6.93,3.7296000000000005,0.0,-7.0,-2.5600000000000023,0.0,80.0,208.0,0.0,22.0,40.0,0.0,2.06,7.119999999999999,0.0
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_SH2-S-0-0_imidazole-N-2-0_4,2,0,1.0,1.0,183.58140000000006,396.59400000000005,714.8696,1084.6688,2181.0,5384.0,7726.0,6236.0,31.0,64.0,114.0,180.0,178.0,492.0,794.0,900.0,13.747000000000007,36.240400000000015,62.77739999999999,78.80919999999998,57.35070000000001,122.05699999999999,173.88520000000003,125.26800000000003,210.0,458.0,514.0,108.0,9.0,18.0,26.0,22.0,44.0,102.0,122.0,50.0,3.451299999999999,8.0702,10.3058,5.335399999999999,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,9.2416,15.504,30.369600000000005,13.376000000000001,49.0,84.0,105.0,14.0,2.0,4.0,2.0,4.0,12.0,16.0,4.0,0.5625,1.155,1.6949999999999998,0.5549999999999999,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.9800000000000004,2.17,1.6799999999999997,2.0,13.0,12.0,-2.0,0.0,2.0,-0.040000000000000036,0.74,0.76,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,30.831999999999997,52.263999999999996,37.562400000000004,729.0,2106.0,864.0,810.0,12.0,8.0,108.0,120.0,96.0,1.5876000000000001,7.030800000000001,7.6104,5.6952,-5.120000000000001,-5.240000000000002,-4.940000000000001,84.0,292.0,186.0,18.0,52.0,32.0,1.98,9.08,5.56
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_thiocyanate-S-0-d1_SH2-S-0-0_thiocyanate-S-0-d1_4,2,-2,1.0,1.0,113.68100000000003,206.3448,355.13680000000005,608.5208,2443.0,5992.0,9216.0,3956.0,19.0,36.0,62.0,104.0,98.0,264.0,372.0,344.0,11.236,26.912399999999998,46.70719999999999,49.68000000000001,22.4005,28.662,15.6864,0.0,341.0,276.0,224.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,2.1958,2.7258,1.53,0.0,16.3364,22.704000000000004,9.680000000000001,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,6.6564000000000005,6.579,7.8432,0.0,256.0,96.0,112.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0404,0.7854,0.765,0.0,6.6564000000000005,11.352000000000002,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.03000000000000025,-0.45999999999999996,0.0,10.0,9.0,0.0,-1.0,0.0,0.0,0.25,0.27,0.0,0.7599999999999998,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.5343999999999998,29.1024,42.676,11.430399999999999,729.0,2592.0,540.0,378.0,10.0,2.0,96.0,72.0,12.0,1.5876000000000001,7.7112,5.67,1.8900000000000001,-4.200000000000001,-3.900000000000002,-2.3200000000000003,66.0,250.0,40.0,20.0,48.0,10.0,1.44,8.1,1.02
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_water-O-0-0_water-O-0-0_water-O-0-0_4,2,0,1.0,1.0,117.08440000000003,226.8336000000001,428.0376,794.6399999999999,1701.0,4176.0,4884.0,1440.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,7.950299999999997,20.999999999999996,35.6742,38.850000000000016,21.5136,30.272000000000002,9.680000000000001,0.0,66.0,32.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,0.8067,1.0804,0.2738,0.0,17.6307,24.596000000000004,9.680000000000001,0.0,210.0,56.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.187325,1.4023,0.2738,0.0,11.833599999999999,15.136000000000001,0.0,0.0,64.0,16.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.5328999999999999,0.5402,0.0,0.0,7.950699999999999,12.298000000000002,0.0,0.0,208.0,28.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.9135249999999999,0.70115,0.0,0.0,2.4799999999999995,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,1.1899999999999997,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,1.155,0.0,0.0,3.5343999999999998,33.952799999999996,49.63200000000001,0.0,729.0,1944.0,324.0,0.0,12.0,0.0,108.0,72.0,0.0,1.5876000000000001,6.615,5.594399999999999,0.0,-6.780000000000001,-3.8400000000000034,0.0,90.0,312.0,0.0,18.0,60.0,0.0,2.31,10.680000000000001,0.0
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4,2,-1,1.0,1.0,206.28900000000004,406.17940000000016,742.4319999999999,769.9399999999998,1400.0,3256.0,3830.0,4070.0,34.0,66.0,116.0,110.0,182.0,408.0,456.0,560.0,13.218900000000007,32.70100000000002,47.14460000000002,52.45200000000002,27.844100000000005,44.460499999999996,43.942000000000014,20.064000000000004,87.5,110.0,64.0,21.0,4.5,7.0,8.0,3.0,15.0,26.0,14.0,3.0,1.49765,2.5801,1.9798,0.8324999999999998,36.766600000000004,62.169,78.20400000000002,40.12800000000001,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.6649999999999996,9.2416,10.564,3.876,10.032,49.0,28.0,21.0,10.5,1.5,0.5,1.5,2.5,3.0,2.0,1.5,0.5625,0.5662499999999999,0.28875,0.41624999999999995,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8324999999999999,1.085,0.2450000000000001,1.2599999999999998,6.5,0.5,9.0,0.5,-1.5,0.0,0.37,-0.010000000000000009,0.5700000000000001,0.4900000000000002,0.4900000000000002,2.5199999999999996,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,1.1400000000000001,3.5343999999999998,34.291199999999996,32.242,23.97,729.0,1134.0,864.0,810.0,7.0,5.0,78.0,72.0,120.0,1.5876000000000001,5.670000000000001,5.7834,4.851,-6.960000000000001,-3.99,-3.3499999999999996,120.0,157.0,105.0,23.0,30.0,10.0,3.0599999999999996,4.23,2.45
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_4,2,0,1.0,1.0,244.71810000000005,501.4844000000002,909.2692,954.0503999999996,1559.0,3686.0,4882.0,5688.0,40.0,80.0,140.0,140.0,220.0,510.0,640.0,790.0,15.833900000000009,39.661200000000015,59.19260000000002,69.48260000000003,47.05865000000001,92.113,126.04460000000003,82.69800000000002,167.0,325.0,320.0,75.0,7.5,14.0,20.0,14.0,34.0,73.0,74.0,28.0,2.8051499999999994,6.0602,6.9958,3.5001999999999995,36.766600000000004,62.169,78.20400000000002,40.12800000000001,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.6649999999999996,9.2416,11.628,19.060800000000004,16.72,49.0,63.0,73.5,17.5,1.5,2.5,2.5,2.5,7.0,10.0,3.5,0.5625,0.86625,1.13625,0.6937499999999999,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8324999999999999,0.7350000000000003,1.33,2.0999999999999996,1.5,7.0,15.0,-1.5,-1.5,1.0,-0.030000000000000027,0.36,0.9500000000000001,0.4900000000000002,0.4900000000000002,2.5199999999999996,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,1.1400000000000001,3.5343999999999998,34.291199999999996,33.558,42.75119999999999,729.0,1134.0,1134.0,1215.0,7.0,9.0,78.0,96.0,168.0,1.5876000000000001,5.670000000000001,6.7914,7.698600000000001,-6.960000000000001,-4.6899999999999995,-5.82,120.0,147.0,198.0,23.0,26.0,26.0,3.0599999999999996,3.4300000000000006,5.230000000000001
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_imidazole-N-2-0_4,2,0,1.0,1.0,265.3022,561.3724000000003,1014.5384,1144.6847999999995,1645.0,3952.0,5594.0,6660.0,43.0,88.0,154.0,172.0,242.0,588.0,814.0,996.0,17.126200000000008,43.68120000000002,67.75300000000001,82.68280000000001,57.35070000000001,122.05699999999999,173.88520000000003,125.26800000000003,210.0,458.0,514.0,108.0,9.0,18.0,26.0,22.0,44.0,102.0,122.0,50.0,3.451299999999999,8.0702,10.3058,5.335399999999999,36.766600000000004,62.169,78.20400000000002,40.12800000000001,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.6649999999999996,9.2416,15.504,30.369600000000005,13.376000000000001,49.0,84.0,105.0,14.0,2.0,4.0,2.0,4.0,12.0,16.0,4.0,0.5625,1.155,1.6949999999999998,0.5549999999999999,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8324999999999999,0.9800000000000004,2.17,1.6799999999999997,2.0,13.0,12.0,-2.0,0.0,2.0,-0.040000000000000036,0.74,0.76,0.4900000000000002,0.4900000000000002,2.5199999999999996,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,1.1400000000000001,3.5343999999999998,34.291199999999996,38.352,56.738399999999984,729.0,1134.0,1296.0,1458.0,8.0,12.0,84.0,120.0,192.0,1.5876000000000001,5.670000000000001,7.7616000000000005,9.576,-6.960000000000001,-5.359999999999999,-7.620000000000001,120.0,168.0,270.0,22.0,28.0,40.0,3.0599999999999996,3.920000000000001,7.52
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4,2,0,1.0,1.0,224.13400000000004,443.56620000000026,778.1868000000007,748.3337999999999,1473.0,3294.0,4110.0,4716.0,37.0,72.0,126.0,108.0,198.0,432.0,468.0,600.0,14.541600000000008,35.70000000000001,50.8926,56.42280000000001,36.766600000000004,64.668,82.173,33.660000000000004,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6721999999999997,1.7094,36.766600000000004,62.79375,79.19625000000002,38.511,124.0,195.0,124.5,40.5,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0425,3.6824,1.6761,6.5024999999999995,7.752,6.5024999999999995,16.830000000000002,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,8.556825,7.752,7.4396249999999995,19.2555,45.75,42.0,40.5,20.25,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5701,0.5775,0.58135,0.83805,-0.4900000000000002,0.0,1.049999999999999,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.020000000000000018,0.0,1.2000000000000002,0.2450000000000001,0.36750000000000016,2.1524999999999994,0.5,0.75,17.25,-1.0,-3.0,0.0,-0.010000000000000009,-0.015000000000000013,1.1550000000000002,3.5343999999999998,31.5276,31.5276,28.764,729.0,1053.0,1053.0,972.0,6.0,6.0,72.0,72.0,144.0,1.5876000000000001,5.7456000000000005,5.7456000000000005,5.8212,-5.49,-5.49,-4.02,123.0,123.0,126.0,24.0,24.0,12.0,3.0,3.0,2.9400000000000004
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_pyridine-N-3-0_acetonitrile-N-1-0_pyridine-N-3-0_4,2,0,1.0,1.0,282.5089999999999,595.5144000000004,1065.8480000000002,1283.956,1693.0,4068.0,5726.0,7056.0,47.0,96.0,166.0,196.0,262.0,636.0,874.0,1132.0,18.64660000000001,47.34520000000002,72.58460000000001,92.69320000000002,65.95410000000001,139.12800000000001,199.54,196.746,234.0,516.0,580.0,360.0,11.0,22.0,32.0,34.0,54.0,126.0,152.0,112.0,4.211499999999999,9.9022,12.721600000000002,10.290199999999999,36.766600000000004,62.169,78.20400000000002,40.12800000000001,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.6649999999999996,9.2416,15.504,28.880000000000003,21.128,49.0,84.0,98.0,56.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8324999999999999,0.9800000000000004,2.66,2.17,2.0,14.0,13.0,-2.0,0.0,1.0,-0.040000000000000036,0.72,0.74,0.4900000000000002,0.4900000000000002,2.5199999999999996,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.020000000000000018,-0.020000000000000018,1.1400000000000001,3.5343999999999998,34.291199999999996,38.352,54.895999999999994,729.0,1134.0,1296.0,1404.0,8.0,12.0,84.0,120.0,192.0,1.5876000000000001,5.670000000000001,7.7616000000000005,9.6264,-6.960000000000001,-5.359999999999999,-6.640000000000001,120.0,168.0,272.0,22.0,28.0,40.0,3.0599999999999996,3.920000000000001,7.48
co_2_ammonia-N-0-0_ammonia-N-0-0_SH2-S-0-0_SH2-S-0-0_ammonia-N-0-0_SH2-S-0-0_4,2,0,1.0,1.0,123.82840000000004,251.88959999999994,476.80560000000014,924.2640000000002,1659.0,4044.0,4680.0,1752.0,22.0,42.0,84.0,150.0,126.0,360.0,570.0,522.0,8.4498,22.905,40.659,49.41719999999998,20.049,31.416000000000004,19.360000000000003,0.0,155.0,53.0,4.0,0.0,3.5,5.0,4.0,0.0,9.0,13.0,4.0,0.0,1.1437,1.5873,0.5476,0.0,20.049,31.416000000000007,19.360000000000007,0.0,155.0,53.0,4.0,0.0,3.5,5.0,4.0,0.0,9.0,13.0,4.0,0.0,1.1437,1.5872999999999997,0.5476,0.0,7.949,15.708000000000002,0.0,0.0,152.5,26.5,0.0,0.0,2.5,0.0,0.0,6.5,6.5,0.0,0.0,0.80145,0.79365,0.0,0.0,7.949000000000001,15.708000000000002,0.0,0.0,152.5,26.5,0.0,0.0,2.5,0.0,0.0,6.5,6.5,0.0,0.0,0.80145,0.79365,0.0,0.0,1.6399999999999997,0.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,1.2200000000000002,0.0,0.0,1.6399999999999997,0.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,1.22,0.0,0.0,3.5343999999999998,31.6968,62.04000000000002,0.0,729.0,1863.0,405.0,0.0,15.0,0.0,126.0,90.0,0.0,1.5876000000000001,6.6906,6.9929999999999986,0.0,-5.580000000000001,-4.800000000000004,0.0,93.0,390.0,0.0,15.0,75.0,0.0,2.25,13.350000000000003,0.0
co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_4,2,0,1.0,1.0,113.551,162.79199999999997,272.68139999999994,526.32,1329.0,2520.0,3672.0,2880.0,13.0,24.0,42.0,60.0,66.0,168.0,192.0,120.0,8.3424,18.387600000000003,28.824599999999997,33.726000000000006,18.3361,17.543999999999997,0.0,0.0,100.0,96.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1258,1.1242,0.0,0.0,18.3361,17.543999999999997,0.0,0.0,100.0,96.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1258,1.1242,0.0,0.0,6.5024999999999995,8.771999999999998,0.0,0.0,36.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,6.5024999999999995,8.771999999999998,0.0,0.0,36.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,-0.8900000000000001,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,-0.8900000000000001,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,3.5343999999999998,28.764,38.8032,0.0,729.0,972.0,1296.0,0.0,6.0,0.0,72.0,36.0,0.0,1.5876000000000001,5.8212,5.518800000000001,0.0,-4.02,-9.360000000000001,0.0,126.0,114.0,0.0,24.0,30.0,0.0,2.9400000000000004,3.1800000000000006,0.0
